sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
POLR1B_-_113300081.23-P1P2	POLR1B__P1P2	449.58	5.5067/1.4444	449.58	3.4755	-6.6536	8.2511	1.1069e+09	3.7675	8.2455e-05	0.99992	0.00016491	0.063401	False
MAD2L1BP_-_43603982.23-P1P2	MAD2L1BP__P1P2	1719	15.419/5.7776	1719	10.598	-7.2124	46.476	4.2322e+09	3.6577	0.00012726	0.99987	0.00025451	0.063401	False
DROSHA__31531421__RVS__39	DROSHA__31531421	1943.2	25.331/5.0554	1943.2	15.193	-6.9076	205.54	4.7841e+09	3.5807	0.00017135	0.99983	0.00034271	0.063401	False
UHRF1__P1P2__secondary__FWD__69	UHRF1__P1P2	1944.4	6.608/33.221	1944.4	19.915	-6.5394	354.13	4.7872e+09	3.5094	0.00022453	0.99978	0.00044906	0.063401	False
METTL15__P2__primarysecondary__RVS__88	METTL15__P2	2463.3	12.115/34.666	2463.3	23.39	-6.6587	254.27	6.0646e+09	3.4989	0.00023363	0.99977	0.00046727	0.063401	False
BUB1__P1P2__primarysecondary__FWD__39	BUB1__P1P2	1583	13.216/25.999	1583	19.608	-6.2642	81.705	3.8973e+09	3.4856	0.00024555	0.99975	0.00049111	0.063401	False
RAD9A_-_67159466.23-P1P2	RAD9A__P1P2	1623.3	2.2027/37.554	1623.3	19.879	-6.2816	624.87	3.9965e+09	3.4853	0.00024577	0.99975	0.00049155	0.063401	False
IPO7__P1P2__primary__RVS__67	IPO7__P1P2	1453.3	20.925/23.11	1453.3	22.018	-5.9814	2.3871	3.578e+09	3.4426	0.00028803	0.99971	0.00057605	0.063401	False
DHH_+_49488100.23-P1P2	DHH__P1P2	1726.6	9.912/44.776	1726.6	27.344	-5.9295	607.76	4.2508e+09	3.4077	0.0003276	0.99967	0.0006552	0.063401	False
XRCC1__P1P2__primary__RVS__15	XRCC1__P1P2	2759.2	55.067/15.888	2759.2	35.478	-6.2416	767.48	6.7932e+09	3.4021	0.00033433	0.99967	0.00066865	0.063401	False
CDC26__P1P2__secondary__FWD__44	CDC26__P1P2	1857.5	11.013/47.665	1857.5	29.339	-5.9368	671.68	4.5732e+09	3.3986	0.00033861	0.99966	0.00067722	0.063401	False
MYSM1_+_59165688.23-P1P2	MYSM1__P1P2	1884	37.445/22.388	1884	29.917	-5.93	113.36	4.6383e+09	3.3953	0.00034279	0.99966	0.00068558	0.063401	False
ANAPC13_-_134204795.23-P1P2	ANAPC13__P1P2	2055.2	25.331/37.554	2055.2	31.443	-5.986	74.709	5.06e+09	3.3938	0.00034459	0.99966	0.00068919	0.063401	False
UBE2C__P1P2__secondary__RVS__80	UBE2C__P1P2	1652.3	9.912/46.943	1652.3	28.428	-5.812	685.65	4.0679e+09	3.3909	0.00034831	0.99965	0.00069662	0.063401	False
MDM2__P1P2__primary__RVS__72	MDM2__P1P2	986.06	25.331/20.222	986.06	22.776	-5.3755	13.052	2.4277e+09	3.3796	0.00036296	0.99964	0.00072592	0.063401	False
TRIP13_+_893079.23-P1P2	TRIP13__P1P2	1848.7	24.229/38.999	1848.7	31.614	-5.8257	109.07	4.5515e+09	3.3775	0.00036575	0.99963	0.00073151	0.063401	False
CEP63__P1P2__secondary__FWD__59	CEP63__P1P2	2013.7	11.013/57.776	2013.7	34.395	-5.8309	1093.4	4.9577e+09	3.3663	0.00038091	0.99962	0.00076182	0.063401	False
ANAPC13__P1P2__primary__RVS__49	ANAPC13__P1P2	2731.5	33.04/50.554	2731.5	41.797	-5.9966	153.37	6.725e+09	3.3556	0.00039593	0.9996	0.00079185	0.063401	False
CEP63_-_134205066.23-P1P2	CEP63__P1P2	1628.3	62.776/3.611	1628.3	33.194	-5.5744	1750.3	4.0089e+09	3.3461	0.00040975	0.99959	0.0008195	0.063401	False
ANAPC13_+_134204787.23-P1P2	ANAPC13__P1P2	2225.2	77.094/3.611	2225.2	40.352	-5.7505	2699.8	5.4786e+09	3.3362	0.00042461	0.99958	0.00084922	0.063401	False
PALB2__P1P2__primary__RVS__33	PALB2__P1P2	1959.5	24.229/54.887	1959.5	39.558	-5.5951	469.95	4.8244e+09	3.3236	0.00044424	0.99956	0.00088849	0.063401	False
TACC3_-_1723252.23-P1	TACC3__P1	1532.6	12.115/65.72	1532.6	38.917	-5.2638	1436.8	3.7733e+09	3.2931	0.00049549	0.9995	0.00099097	0.063401	False
HUS1__P1P2__primary__FWD__69	HUS1__P1P2	2212.7	57.27/41.888	2212.7	49.579	-5.4518	118.3	5.4476e+09	3.2777	0.00052321	0.99948	0.0010464	0.063401	False
ABCB10_+_229694285.23-P1P2	ABCB10__P1P2	1628.3	49.56/36.11	1628.3	42.835	-5.216	90.453	4.0089e+09	3.2748	0.00052877	0.99947	0.0010575	0.063401	False
ACTR8_+_53916142.23-P1P2	ACTR8__P1P2	2499.8	52.864/59.22	2499.8	56.042	-5.4542	20.201	6.1545e+09	3.2608	0.00055558	0.99944	0.0011112	0.063401	False
