sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
PMAIP1__57567020__RVS__36	PMAIP1__57567020	4198.9	59765/73445	4198.9	66605	3.9872	9.3568e+07	1.1659e+07	18.277	1	7.0778e-75	1.4156e-74	1.3718e-70	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	3090.4	47771/58844	3090.4	53307	4.108	6.1297e+07	8.5807e+06	17.143	1	4.1415e-66	8.2831e-66	2.7075e-62	True
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	2984.6	38649/66018	2984.6	52333	4.1317	3.7453e+08	8.2869e+06	17.143	1	4.1907e-66	8.3814e-66	2.7075e-62	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	3160.1	49543/55590	3160.1	52567	4.0557	1.8281e+07	8.7742e+06	16.679	1	1.0803e-62	2.1606e-62	5.2347e-59	True
TP53_+_7590780.23-P1P2	TP53__P1P2	5876	66093/79922	5876	73007	3.6349	9.5632e+07	1.6315e+07	16.62	1	2.6891e-62	5.3782e-62	1.0424e-58	True
TADA2B__P1P2__secondary__FWD__9	TADA2B__P1P2	2762.1	39676/51276	2762.1	45476	4.0408	6.7283e+07	7.669e+06	15.424	1	6.7045e-54	1.3409e-53	2.1658e-50	True
TP53__P1P2__primarysecondary__RVS__44	TP53__P1P2	3989	48509/51943	3989	50226	3.654	5.8969e+06	1.1076e+07	13.893	1	3.9301e-44	7.8602e-44	1.0882e-40	True
TP53__P1P2__primarysecondary__FWD__34	TP53__P1P2	5939	57393/65102	5939	61247	3.3661	2.9714e+07	1.649e+07	13.62	1	1.6383e-42	3.2766e-42	3.9692e-39	True
SUPT20H__P1P2__secondary__RVS__74	SUPT20H__P1P2	3010.6	30006/39706	3010.6	34856	3.5328	4.7049e+07	8.3592e+06	11.014	1	1.9116e-28	3.8232e-28	4.1168e-25	True
TADA2B_-_7045121.23-P1P2	TADA2B__P1P2	2776.3	30121/34489	2776.3	32305	3.54	9.5416e+06	7.7086e+06	10.635	1	1.2126e-26	2.4251e-26	2.3502e-23	True
TP53_+_7590774.23-P1P2	TP53__P1P2	3365.9	36919/33509	3365.9	35214	3.3867	5.8137e+06	9.3455e+06	10.418	1	1.1868e-25	2.3735e-25	2.0911e-22	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	2438.7	27157/31779	2438.7	29468	3.5944	1.0681e+07	6.7713e+06	10.387	1	1.7156e-25	3.4312e-25	2.7709e-22	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	2959.4	24284/38327	2959.4	31305	3.4026	9.86e+07	8.2169e+06	9.8886	1	2.7477e-23	5.4954e-23	4.0966e-20	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	3040	25750/33553	3040	29652	3.2855	3.0446e+07	8.4408e+06	9.1597	1	3.0541e-20	6.1082e-20	4.2282e-17	True
