sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
EXOC5_+_57735310.23-P1P2	EXOC5__P1P2	1773.6	9.4464/7.373	1773.6	8.4097	-7.5591	2.1495	3.3132e+10	3.9658	3.6577e-05	0.99996	7.3155e-05	0.021653	False
C7orf26__P1P2__secondary__RVS__55	C7orf26__P1P2	2702.8	13.225/17.511	2702.8	15.368	-7.368	9.1846	5.0491e+10	3.8717	5.4047e-05	0.99995	0.00010809	0.021653	False
SAE1_-_47634616.23-P1P2	SAE1__P1P2	398.08	5.6678/7.373	398.08	6.5204	-5.7297	1.4538	7.4364e+09	3.8457	6.0108e-05	0.99994	0.00012022	0.021653	False
BUB1_-_111435363.23-P1P2	BUB1__P1P2	1937.6	15.114/13.824	1937.6	14.469	-6.9695	0.83184	3.6196e+10	3.8454	6.0189e-05	0.99994	0.00012038	0.021653	False
WDR89_-_64108336.23-P1P2	WDR89__P1P2	2637.5	14.17/22.119	2637.5	18.144	-7.1066	31.597	4.9269e+10	3.828	6.4605e-05	0.99994	0.00012921	0.021653	False
SMN2__69345238__RVS__229	SMN2__69345238	2213	3.7785/29.492	2213	16.635	-6.972	330.59	4.134e+10	3.8275	6.4715e-05	0.99994	0.00012943	0.021653	False
TMEM86A_-_18720818.23-P1P2	TMEM86A__P1P2	1276.9	16.059/10.138	1276.9	13.098	-6.5021	17.529	2.3852e+10	3.8182	6.7224e-05	0.99993	0.00013445	0.021653	False
DROSHA__31531421__RVS__38	DROSHA__31531421	2465.4	17.003/25.805	2465.4	21.404	-6.7825	38.738	4.6054e+10	3.7786	7.8853e-05	0.99992	0.00015771	0.021653	False
HDAC7_-_48213211.23-P1P2	HDAC7__P1P2	1562.5	31.173/3.6865	1562.5	17.43	-6.4066	377.75	2.9189e+10	3.7725	8.0807e-05	0.99992	0.00016161	0.021653	False
SPAG9_-_49198067.23-P1P2	SPAG9__P1P2	1678.4	38.73/5.5297	1678.4	22.13	-6.182	551.13	3.1353e+10	3.7216	9.8967e-05	0.9999	0.00019793	0.021653	False
PPIL1_+_36842544.23-P1P2	PPIL1__P1P2	2511.3	39.675/14.746	2511.3	27.21	-6.4766	310.72	4.6912e+10	3.7208	9.9313e-05	0.9999	0.00019863	0.021653	False
TACC3_-_1723216.23-P1	TACC3__P1	1556.8	29.284/13.824	1556.8	21.554	-6.11	119.5	2.9081e+10	3.7187	0.00010011	0.9999	0.00020023	0.021653	False
CTDSPL2_-_44719841.23-P1P2	CTDSPL2__P1P2	2576.6	47.232/15.668	2576.6	31.45	-6.3117	498.15	4.8133e+10	3.6873	0.00011331	0.99989	0.00022661	0.021653	False
ANAPC13__P1P2__secondary__FWD__64	ANAPC13__P1P2	2450.5	41.564/20.276	2450.5	30.92	-6.263	226.6	4.5776e+10	3.6852	0.00011426	0.99989	0.00022851	0.021653	False
PTBP1_+_797463.23-P1P2	PTBP1__P1P2	1616.4	10.391/43.316	1616.4	26.854	-5.8597	542.04	3.0196e+10	3.6677	0.00012239	0.99988	0.00024478	0.021653	False
BUB1_+_111435626.23-P1P2	BUB1__P1P2	1282.6	22.671/25.805	1282.6	24.238	-5.6684	4.9115	2.3959e+10	3.6641	0.00012412	0.99988	0.00024823	0.021653	False
