sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	2886.6	95740/84051	2886.6	89896	4.9603	6.8314e+07	2.198e+07	18.559	1	4.749e-77	9.498e-77	9.2045e-73	True
RBM15__110881839__FWD__75	RBM15__110881839	2360.9	69244/68432	2360.9	68838	4.8652	3.2899e+05	1.4349e+07	17.55	1	4.0856e-69	8.1713e-69	3.9594e-65	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	2541.9	60913/69278	2541.9	65095	4.678	3.4984e+07	1.6783e+07	15.269	1	8.3734e-53	1.6747e-52	5.4098e-49	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	3823.5	97558/90112	3823.5	93835	4.6168	2.7721e+07	3.9905e+07	14.249	1	3.1301e-46	6.2602e-46	1.5167e-42	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	5119.7	1.1669e+05/1.2052e+05	5119.7	1.186e+05	4.5337	7.3404e+06	7.4136e+07	13.18	1	7.8999e-40	1.58e-39	3.0623e-36	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	2162.6	42442/45828	2162.6	44135	4.3505	5.7342e+06	1.1912e+07	12.161	1	3.407e-34	6.8141e-34	1.1006e-30	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	2418.1	48461/46597	2418.1	47529	4.2963	1.7369e+06	1.5097e+07	11.61	1	2.4947e-31	4.9894e-31	6.9075e-28	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	3268.5	63565/64348	3268.5	63956	4.29	3.0637e+05	2.8611e+07	11.346	1	5.3367e-30	1.0673e-29	1.2929e-26	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	1896.4	35590/35152	1896.4	35371	4.2205	95656	9.0151e+06	11.149	1	4.9261e-29	9.8522e-29	1.0609e-25	True
SUPT20H__P1P2__secondary__RVS__74	SUPT20H__P1P2	2128	38339/39242	2128	38791	4.1875	4.0789e+05	1.1511e+07	10.806	1	2.1938e-27	4.3875e-27	4.252e-24	True
