sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
DDX10_-_108536187.23-P1P2	DDX10__P1P2	875.29	8.4742/7.7929	875.29	8.1336	-6.5841	0.23211	6.9714e+09	3.7843	7.7076e-05	0.99992	0.00015415	0.026551	False
EIF3F__P1P2__primarysecondary__FWD__61	EIF3F__P1P2	995.93	14.124/13.854	995.93	13.989	-6.0555	0.036362	7.9323e+09	3.6639	0.00012421	0.99988	0.00024841	0.026551	False
HDAC7_-_48213211.23-P1P2	HDAC7__P1P2	1004.6	16.007/13.854	1004.6	14.93	-5.9801	2.3174	8.0009e+09	3.6483	0.00013199	0.99987	0.00026398	0.026551	False
CDC26__P1P2__secondary__FWD__44	CDC26__P1P2	1096.9	25.423/17.318	1096.9	21.37	-5.617	32.847	8.7363e+09	3.5667	0.00018072	0.99982	0.00036144	0.026551	False
CEP63__P1P2__secondary__FWD__59	CEP63__P1P2	1058.7	21.656/24.245	1058.7	22.95	-5.4675	3.3494	8.4323e+09	3.5433	0.00019758	0.9998	0.00039517	0.026551	False
IMMT__P1P2__primary__RVS__63	IMMT__P1P2	1244.6	23.54/26.842	1244.6	25.191	-5.5716	5.4539	9.9129e+09	3.5403	0.00019987	0.9998	0.00039973	0.026551	False
CEP63__P1P2__secondary__FWD__66	CEP63__P1P2	1529	21.656/34.635	1529	28.146	-5.7141	84.224	1.2178e+10	3.5384	0.00020126	0.9998	0.00040251	0.026551	False
MAD2L1BP_-_43603663.23-P1P2	MAD2L1BP__P1P2	832.2	19.773/21.647	832.2	20.71	-5.2622	1.7555	6.6282e+09	3.5384	0.00020131	0.9998	0.00040263	0.026551	False
AATF__P1P2__secondary__FWD__50	AATF__P1P2	1016.9	18.832/28.574	1016.9	23.703	-5.3647	47.457	8.099e+09	3.5294	0.00020826	0.99979	0.00041651	0.026551	False
AATF_-_35306312.23-P1P2	AATF__P1P2	768.19	21.656/19.915	768.19	20.786	-5.1419	1.5159	6.1184e+09	3.5267	0.00021037	0.99979	0.00042074	0.026551	False
SMN2__69345238__RVS__1	SMN2__69345238	965.16	16.948/32.038	965.16	24.493	-5.2441	113.84	7.6872e+09	3.5137	0.00022094	0.99978	0.00044188	0.026551	False
GTF3C4__P1P2__primary__FWD__36	GTF3C4__P1P2	1162.1	16.007/40.696	1162.1	28.352	-5.3084	304.78	9.256e+09	3.4997	0.00023287	0.99977	0.00046574	0.026551	False
RPL34__P1P2__secondary__FWD__85	RPL34__P1P2	702.94	26.364/23.379	702.94	24.872	-4.766	4.4568	5.5987e+09	3.4669	0.00026323	0.99974	0.00052646	0.026551	False
U2SURP__P1P2__primary__RVS__62	U2SURP__P1P2	1615.2	66.852/9.5247	1615.2	38.188	-5.366	1643.2	1.2864e+10	3.4645	0.0002656	0.99973	0.0005312	0.026551	False
RPS8_-_45241297.23-P1P2	RPS8__P1P2	572.45	14.124/31.172	572.45	22.648	-4.5999	145.32	4.5594e+09	3.4643	0.00026581	0.99973	0.00053162	0.026551	False
ORC5_+_103848420.23-P1P2	ORC5__P1P2	1493.3	36.722/37.233	1493.3	36.977	-5.2982	0.1306	1.1894e+10	3.4625	0.00026758	0.99973	0.00053517	0.026551	False
POLR1B_-_113300298.23-P1P2	POLR1B__P1P2	874.06	19.773/37.233	874.06	28.503	-4.8904	152.42	6.9616e+09	3.4598	0.0002703	0.99973	0.00054059	0.026551	False
RPL34_+_109541928.23-P1P2	RPL34__P1P2	542.9	9.4158/35.501	542.9	22.458	-4.5352	340.22	4.324e+09	3.4594	0.00027071	0.99973	0.00054143	0.026551	False
EMC1_-_19577627.23-P1P2	EMC1__P1P2	1098.1	33.897/32.038	1098.1	32.967	-5.0161	1.7288	8.7461e+09	3.4516	0.00027864	0.99972	0.00055727	0.026551	False
RAD9A_-_67159466.23-P1P2	RAD9A__P1P2	928.22	27.306/34.635	928.22	30.971	-4.8612	26.859	7.393e+09	3.4456	0.00028492	0.99972	0.00056985	0.026551	False
RPS14_+_149829235.23-P1P2	RPS14__P1P2	407.48	9.4158/32.038	407.48	20.727	-4.2327	255.87	3.2455e+09	3.4421	0.00028863	0.99971	0.00057727	0.026551	False
IPO7_-_9406180.23-P1P2	IPO7__P1P2	624.15	25.423/25.976	624.15	25.7	-4.5493	0.15326	4.9712e+09	3.4419	0.00028878	0.99971	0.00057756	0.026551	False
EIF3F__P1P2__primarysecondary__RVS__64	EIF3F__P1P2	917.15	35.78/26.842	917.15	31.311	-4.8286	39.943	7.3048e+09	3.441	0.00028981	0.99971	0.00057962	0.026551	False
RPL36A_-_100646038.23-P1P2	RPL36A__P1P2	1109.2	22.598/46.757	1109.2	34.678	-4.9596	291.84	8.8344e+09	3.4393	0.00029161	0.99971	0.00058322	0.026551	False
ZAR1L_-_32889550.23-P1P2	ZAR1L__P1P2	1499.4	47.079/34.635	1499.4	40.857	-5.1638	77.426	1.1943e+10	3.4361	0.00029505	0.9997	0.00059009	0.026551	False
DDX10__P1P2__primarysecondary__RVS__65	DDX10__P1P2	1260.6	31.072/45.892	1260.6	38.482	-4.9979	109.81	1.004e+10	3.4286	0.00030335	0.9997	0.00060671	0.026551	False
SMN2__69345238__RVS__469	SMN2__69345238	1386.2	43.313/38.099	1386.2	40.706	-5.0558	13.593	1.104e+10	3.4264	0.00030586	0.99969	0.00061171	0.026551	False
WDR70__P1P2__primary__RVS__76	WDR70__P1P2	1509.3	41.43/45.026	1509.3	43.228	-5.0937	6.4659	1.2021e+10	3.4217	0.00031113	0.99969	0.00062227	0.026551	False
DROSHA__31531421__RVS__39	DROSHA__31531421	1074.7	15.065/58.014	1074.7	36.54	-4.8407	922.29	8.5598e+09	3.4208	0.0003122	0.99969	0.00062441	0.026551	False
AATF_-_35306333.23-P1P2	AATF__P1P2	784.19	32.014/32.038	784.19	32.026	-4.5714	0.0002813	6.2458e+09	3.4134	0.00032077	0.99968	0.00064155	0.026551	False
ORC5_-_103848433.23-P1P2	ORC5__P1P2	1341.9	55.553/28.574	1341.9	42.064	-4.9627	363.94	1.0688e+10	3.413	0.00032129	0.99968	0.00064258	0.026551	False
MCM7__P1P2__primary__FWD__52	MCM7__P1P2	1100.6	38.605/39.83	1100.6	39.218	-4.7756	0.75099	8.7657e+09	3.4048	0.00033109	0.99967	0.00066218	0.026551	False
MAD2L1BP_+_43603763.23-P1P2	MAD2L1BP__P1P2	762.03	22.598/43.294	762.03	32.946	-4.4904	214.16	6.0693e+09	3.4017	0.00033479	0.99967	0.00066958	0.026551	False
IPO7__P1P2__primary__RVS__67	IPO7__P1P2	693.09	41.43/23.379	693.09	32.404	-4.377	162.92	5.5202e+09	3.3932	0.0003454	0.99965	0.0006908	0.026551	False
ANAPC13__P1P2__primary__RVS__49	ANAPC13__P1P2	1449	52.729/41.562	1449	47.145	-4.9125	62.344	1.1541e+10	3.3924	0.0003464	0.99965	0.0006928	0.026551	False
CEP63__P1P2__secondary__FWD__65	CEP63__P1P2	1447.7	29.189/66.673	1447.7	47.931	-4.8879	702.51	1.1531e+10	3.3878	0.00035232	0.99965	0.00070465	0.026551	False
MDM2__P1P2__primary__FWD__48	MDM2__P1P2	599.53	23.54/38.099	599.53	30.819	-4.2383	105.98	4.7751e+09	3.3869	0.00035339	0.99965	0.00070679	0.026551	False
DDX10_-_108536294.23-P1P2	DDX10__P1P2	1127.7	29.189/56.282	1127.7	42.736	-4.6897	367.02	8.9814e+09	3.3846	0.00035639	0.99964	0.00071278	0.026551	False
ORC5_-_103848430.23-P1P2	ORC5__P1P2	1607.8	67.794/34.635	1607.8	51.215	-4.9454	549.75	1.2805e+10	3.3841	0.00035703	0.99964	0.00071405	0.026551	False
RPS13_+_17099153.23-P1P2	RPS13__P1P2	613.07	47.079/16.452	613.07	31.765	-4.2282	469.02	4.8829e+09	3.3817	0.00036017	0.99964	0.00072034	0.026551	False
KIAA0020_+_2843962.23-P1	KIAA0020__P1	1215.1	41.43/48.489	1215.1	44.959	-4.7257	24.919	9.6776e+09	3.381	0.00036107	0.99964	0.00072213	0.026551	False
UHRF1__P1P2__secondary__FWD__69	UHRF1__P1P2	1019.3	53.67/30.306	1019.3	41.988	-4.569	272.95	8.1186e+09	3.3755	0.00036846	0.99963	0.00073693	0.026551	False
ABCB10_+_229694285.23-P1P2	ABCB10__P1P2	1141.2	61.203/28.574	1141.2	44.888	-4.6375	532.32	9.0893e+09	3.3728	0.00037209	0.99963	0.00074419	0.026551	False
AATF_-_35306346.23-P1P2	AATF__P1P2	771.88	26.364/47.623	771.88	36.994	-4.3464	225.97	6.1478e+09	3.3717	0.0003735	0.99963	0.000747	0.026551	False
IPO7__P1P2__primary__RVS__28	IPO7__P1P2	1104.3	28.247/60.612	1104.3	44.429	-4.6046	523.72	8.7951e+09	3.371	0.00037446	0.99963	0.00074891	0.026551	False
ARHGAP4_-_153200438.23-P1	ARHGAP4__P1	1178.1	55.553/38.099	1178.1	46.826	-4.6238	152.33	9.3834e+09	3.3655	0.00038196	0.99962	0.00076393	0.026551	False
MAD2L1BP_-_43603982.23-P1P2	MAD2L1BP__P1P2	827.28	44.254/34.635	827.28	39.445	-4.3561	46.265	6.589e+09	3.3637	0.00038457	0.99962	0.00076915	0.026551	False
MAD2L1BP__P1P2__secondary__FWD__75	MAD2L1BP__P1P2	653.7	28.247/42.428	653.7	35.338	-4.1713	100.54	5.2065e+09	3.3613	0.00038794	0.99961	0.00077588	0.026551	False
SMN1__70220656__FWD__94	SMN1__70220656	1413.3	38.605/66.673	1413.3	52.639	-4.7206	393.9	1.1256e+10	3.3586	0.00039167	0.99961	0.00078334	0.026551	False
RPS14__P1P2__secondary__FWD__69	RPS14__P1P2	364.4	28.247/25.11	364.4	26.679	-3.7226	4.9203	2.9023e+09	3.3577	0.000393	0.99961	0.000786	0.026551	False
SMN2__69345238__FWD__91	SMN2__69345238	1035.3	62.144/28.574	1035.3	45.359	-4.4825	563.49	8.2461e+09	3.3563	0.00039493	0.99961	0.00078986	0.026551	False
ATRIP__P1P2__primary__FWD__12	ATRIP__P1P2	1744.4	68.735/49.355	1744.4	59.045	-4.8614	187.8	1.3894e+10	3.3563	0.00039498	0.99961	0.00078995	0.026551	False
NUTF2__P1P2__primary__RVS__61	NUTF2__P1P2	1243.4	48.021/52.819	1243.4	50.42	-4.597	11.51	9.9031e+09	3.3526	0.00040023	0.9996	0.00080047	0.026551	False
POLR1B_-_113300081.23-P1P2	POLR1B__P1P2	753.41	49.904/29.44	753.41	39.672	-4.2133	209.39	6.0007e+09	3.349	0.00040546	0.99959	0.00081091	0.026551	False
EMC1__P1P2__primary__FWD__96	EMC1__P1P2	1551.1	55.553/58.88	1551.1	57.217	-4.7367	5.5325	1.2354e+10	3.3486	0.00040616	0.99959	0.00081233	0.026551	False
PABPC4__P1P2__primary__RVS__29	PABPC4__P1P2	893.75	44.254/43.294	893.75	43.774	-4.3208	0.46121	7.1185e+09	3.3456	0.00041047	0.99959	0.00082095	0.026551	False
DDX10_+_108536212.23-P1P2	DDX10__P1P2	1229.8	30.131/73.6	1229.8	51.865	-4.5412	944.78	9.7952e+09	3.3433	0.00041399	0.99959	0.00082798	0.026551	False
TRIM52_-_180688099.23-P1P2	TRIM52__P1P2	1043.9	73.443/22.513	1043.9	47.978	-4.4151	1297	8.3147e+09	3.3419	0.00041599	0.99958	0.00083198	0.026551	False
DDX10_+_108535803.23-P1P2	DDX10__P1P2	1634.9	46.138/75.331	1634.9	60.734	-4.7278	426.14	1.3021e+10	3.3394	0.00041983	0.99958	0.00083966	0.026551	False
GTF2H2_+_70363453.23-ENST00000274400.5_ENST00000330280.7	GTF2H2__ENST00000274400.5_ENST00000330280.7	1252	38.605/68.404	1252	53.505	-4.5229	444.01	9.9717e+09	3.3371	0.00042324	0.99958	0.00084649	0.026551	False
DROSHA__31531421__RVS__38	DROSHA__31531421	1222.4	53.67/52.819	1222.4	53.244	-4.4953	0.3626	9.7364e+09	3.3351	0.0004263	0.99957	0.00085259	0.026551	False
CEP63_-_134205066.23-P1P2	CEP63__P1P2	1052.6	50.845/49.355	1052.6	50.1	-4.3658	1.1106	8.3833e+09	3.3311	0.00043259	0.99957	0.00086519	0.026551	False
RBM7_+_114271574.23-P1P2	RBM7__P1P2	1156	39.546/65.807	1156	52.677	-4.4299	344.8	9.2069e+09	3.3303	0.00043383	0.99957	0.00086765	0.026551	False
ANAPC13_+_134204787.23-P1P2	ANAPC13__P1P2	1378.8	48.021/67.539	1378.8	57.78	-4.553	190.47	1.0982e+10	3.3293	0.00043532	0.99956	0.00087064	0.026551	False
NEDD8-MDP1__P1P2__primarysecondary__FWD__40	NEDD8-MDP1__P1P2	1304.9	45.196/67.539	1304.9	56.367	-4.5087	249.6	1.0393e+10	3.3284	0.00043666	0.99956	0.00087332	0.026551	False
RASAL2_+_178063312.23-P1P2	RASAL2__P1P2	992.24	75.327/23.379	992.24	49.353	-4.302	1349.3	7.9029e+09	3.3269	0.00043902	0.99956	0.00087803	0.026551	False
DROSHA__31531421__RVS__48	DROSHA__31531421	973.77	48.021/50.221	973.77	49.121	-4.2816	2.4206	7.7558e+09	3.3256	0.00044112	0.99956	0.00088223	0.026551	False
PPP2CA_+_133561724.23-P1P2	PPP2CA__P1P2	1189.2	48.962/59.746	1189.2	54.354	-4.4264	58.14	9.4717e+09	3.3255	0.00044128	0.99956	0.00088256	0.026551	False
NRF1__P1P2__secondary__RVS__63	NRF1__P1P2	1291.4	70.619/43.294	1291.4	56.956	-4.4789	373.32	1.0286e+10	3.3241	0.00044355	0.99956	0.00088711	0.026551	False
ANKRA2_-_72861421.23-P1P2	ANKRA2__P1P2	1275.4	53.67/59.746	1275.4	56.708	-4.4672	18.456	1.0158e+10	3.3235	0.00044441	0.99956	0.00088882	0.026551	False
